ígñ[E(kWh/h),ígñ[G(MJ/h),ígñ[K(MJ/h),ígñ[M(MJ/h),ígñ[UT(MJ/h),ó‚ñ[E(kWh/h),ó‚ñ[G(MJ/h),ó‚ñ[K(MJ/h),ó‚ñ[M(MJ/h),ó‚ñ[UT(MJ/h),ä∑ãCE(kWh/h),è∆ñæE(kWh/h),ããìíE(kWh/h),ããìíG(MJ/h),ããìíK(MJ/h),ããìíM(MJ/h),â∆ìdE(kWh/h),â∆ìdG(MJ/h),â∆ìdK(MJ/h),â∆ìdM(MJ/h),í≤óùE(kWh/h),í≤óùG(MJ/h),í≤óùK(MJ/h),í≤óùM(MJ/h),ÉRÅ[ÉWÉFÉlG(MJ/h),ÉRÅ[ÉWÉFÉlK(MJ/h),ÉRÅ[ÉWÉFÉlî≠ìd(kWh/h),ÉRÅ[ÉWÉFÉlî≠ìd(é©â∆è¡îÔ)(kWh/h),PVî≠ìd(KWh/h),PVî≠ìd(é©â∆è¡îÔ)(kWh/h)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.0,0.0031557175925925928,0.0,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6609984494671037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.0,0.0031557175925925928,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7424463574659137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07691224,0.036464036490960014,0.004684050925925926,3.3141134231766674,0.0,0.0,0.3531,0.0,0.0,0.0,0.0,2.2536,0.0,0.0,0.0,0.0,0.0,0.0,0.013307721457956419,0.013307721457956419
0.5210829536334416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557224000000002,0.22934337827858417,0.003592384259259259,0.9468895494790478,0.0,0.0,0.3669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12617221847675839,0.12617221847675839
0.48387914857883485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557224000000002,0.12910403514132926,0.0031557175925925928,0.0,0.0,0.0,0.2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23680063426600884,0.23680063426600884
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.33084101357270185,0.003374050925925926,0.4734447747395239,0.0,0.0,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317932633639206,0.3317932633639206
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473224000000001,0.1060257407690349,0.0031557175925925928,0.0,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40286184089843186,0.2456136983616275
0.9085184063759718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.005277528138528138,0.0031557175925925928,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,1.6123,0.0,0.0,0.0,0.0,0.0,0.0,0.429382321647916,0.429382321647916
0.4052293621747712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07691224,0.058987285714285714,0.0038107175925925925,1.4203343242185718,0.0,0.0,0.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40987468728095466,0.40987468728095466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473224000000001,0.11604475935828878,0.0031557175925925928,0.0,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33086077454700924,0.25563271695088136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.04896826712503183,0.0031557175925925928,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2303457607122498,0.19552622471762443
0.4204576999573433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390224000000001,0.0,0.0031557175925925928,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12575647876163018,0.12575647876163018
0.3674044759830548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473224000000001,0.06761252992105934,0.003374050925925926,0.4734447747395239,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013242869991042232,0.013242869991042232
0.9464690096759973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473224000000001,0.11363652992105934,0.0031557175925925928,0.0,0.0,0.0,0.3026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
