SC,E_E_dmd_excl,theta_ex_d_t,E_p_0,E_p_1,E_p_2,E_p_3,E_E_PV_h,E_E_PV_sell,E_E_PV_chg,E_E_PSS_h,E_E_PSS_max_sup,E_E_srpl,E_E_dmd_incl,E_E_aux_PSS,E_dash_dash_E_PV_chg,E_dash_dash_E_srpl,E_dash_dash_E_SB_sup,E_E_PV_max_sup,E_E_SB_max_sup,E_dash_dash_E_PV_max_sup,E_dash_dash_E_SB_max_sup,E_E_SB_max_chg,E_E_aux_PCS
1.0,0.7941173044986278,6.7,0.3317932633639206,0.0,0.0,0.0,0.23819347882642786,0.0,0.0,0.0,0.23819347882642786,0.0,0.8221173044986279,0.028,0.0,0.0,0.0,0.23819347882642786,0.0,0.32183946546300296,0.0,0.6,0.025
1.0,0.2456136983616275,6.7,0.40286184089843186,0.0,0.0,0.0,0.2736136983616275,0.0,0.03179288766806432,0.0,0.30540658602969184,0.03179288766806432,0.2736136983616275,0.028,1.3125,1.5,0.0,0.30540658602969184,0.0,0.39077598567147886,0.0,0.12717155067225727,0.025
1.0,1.0603538921070925,7.0,0.429382321647916,0.0,0.0,0.0,0.3304883306985165,0.0,0.0,0.7578655614085761,1.364816479615982,0.0,1.0883538921070925,0.028,0.0,0.0,1.5,0.3304883306985165,1.0343281489174656,0.41650085199847847,1.2823878450435544,0.6,0.025
1.0,0.9154396054816494,7.2,0.40987468728095466,0.0,0.0,0.0,0.3120389854959628,0.0,0.0,0.0,0.3120389854959628,0.0,0.9434396054816494,0.028,0.0,0.0,0.0,0.3120389854959628,0.0,0.397578446662526,0.0,0.6,0.025
1.0,0.25563271695088136,7.5,0.33086077454700924,0.0,0.0,0.0,0.2373115775278339,0.0,0.0,0.0,0.2373115775278339,0.0,0.2836327169508814,0.028,0.0,0.0,0.0,0.2373115775278339,0.0,0.3209349513105989,0.0,0.6,0.025
1.0,0.19552622471762443,7.5,0.2303457607122498,0.0,0.0,0.0,0.14224950319361024,0.0,0.0,0.0,0.14224950319361024,0.0,0.22352622471762443,0.028,0.0,0.0,0.0,0.14224950319361024,0.0,0.22343538789088227,0.0,0.6,0.025
1.0,0.5670156575499359,7.6,0.12575647876163018,0.0,0.0,0.0,0.07319027063926875,0.0,0.0,0.0,0.07319027063926875,0.0,0.5950156575499359,0.028,0.0,0.0,0.0,0.07319027063926875,0.0,0.12198378439878126,0.0,0.6,0.025
1.0,0.5748232968300401,7.4,0.013242869991042232,0.0,0.0,0.0,0.007707350334786578,0.0,0.0,0.0,0.007707350334786578,0.0,0.6028232968300401,0.028,0.0,0.0,0.0,0.007707350334786578,0.0,0.012845583891310963,0.0,0.6,0.025
1.0,1.4305934971896495,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4345934971896495,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.3826589998844259,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3866589998844259,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
